week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-18,-0.7805242478595463,0.5136673810280693,-0.5120216092856247,0.22448401885594968,4.0
2026-19,-0.545527798234414,0.5243575366403906,0.07814338687541517,1.2058300435130322,9.0
2026-20,0.186621389827983,0.8383297394470861,-0.20095788901237724,0.9201065064611104,26.0
2026-21,0.07910375235745726,0.9882126576682643,0.19711012960952187,0.9434979419633723,31.0
2026-22,-0.3021919973416696,1.0645573783620952,-0.3692972965051322,0.4122640760921784,17.0
2026-23,0.1932505228463017,0.9631808243498532,-0.03116502966686563,0.8328157515143939,32.0
2026-24,0.014832576436183685,0.9373273693432894,0.08004923795688142,1.0938739350959008,39.0
2026-25,-0.16587878776000592,1.032756382101114,-0.018012582784928288,0.8899682494304542,41.0
2026-26,0.2009044693838201,1.0184530075011489,0.13226362312763115,1.1833408426797771,33.0
2026-27,0.06366682966715055,1.046166290305003,0.22538079114027537,1.1166791454173295,28.0
2026-28,0.13449085107401987,0.8130397095221998,-0.2604997483296421,0.7192920618089791,31.0
2026-29,0.08585709307255757,1.1237261599225108,0.02297608580784932,1.0017229156911123,13.0
2026-30,-0.022691215393833994,0.9165402817675316,0.07050253569073195,0.7454891335998846,22.0
2026-31,-0.024589975154193318,1.0024505617178616,0.11734218284878868,0.9211043131143422,20.0
2026-32,-0.2537900236609515,0.6927073645979082,-0.10344291042630162,1.0910980550003238,17.0
2026-33,-0.45859479456741703,0.5687977566461339,0.527017430296395,1.404742139319855,5.0
2026-34,0.5011526393983919,0.5107833975534408,-0.3164910680141286,0.5017282326182039,3.0
