topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Energiewende,0.15302043887615113,0.898401841640816,-0.054238014694715876,0.9098753241119395,198.0
Gesundheit,0.054796748386845416,0.8820301146676621,0.4027660164875352,1.1306748704545915,12.0
Industrie,-0.26908283924963916,0.9585158814912507,-0.4441848616903642,0.5406299147851155,5.0
Klimaextreme,0.25966112875059166,0.032166915910027495,-0.5568417552807077,0.25297067858876804,2.0
Klimawandel,-0.2772332691117333,0.9669146456909956,0.0771252234183151,0.9929895829744088,106.0
Landwirtschaft,-0.09432512339424323,1.0379405807292512,0.23023660417551092,1.160602143898173,16.0
Oekologie,0.8084425943699411,1.0,0.4357336551750698,1.0,1.0
Waermewende,0.14273562155301062,1.0614286210932347,-0.06613339745288309,0.8631364581300238,25.0
Wasserversorgung,-0.042941617769820264,0.8921643858159549,0.3088385149818316,1.6054820329890027,4.0
