keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Apfel Blüte',1.325460177693525,0.5658810132094299,-0.5285818888130593,0.07957834689096861,2.0
'Apfelernte',0.5304617098777026,1.1987129489507173,0.5616751852707559,1.1905446967873308,19.0
'Aussaat',0.545099850204654,1.177260562877765,-0.4357054168973842,0.33148806196959646,6.0
'Blüte',-0.016142000066711674,0.8485493170554687,0.5278072305301339,1.2454216180920545,32.0
'Dunkelflaute Energiewende',-0.694187576381273,0.02873060376111131,-0.22675693942714764,0.502792913118262,2.0
'Eiche Laub',0.08647327717228694,1.0,2.406288964256695,1.0,1.0
'Eicheln',0.3253009047409152,1.01713114853007,0.4439029231127275,1.1990141673136654,4.0
'Energiewende Klimawandel',0.4301946713810051,1.0,-0.539499130628631,1.0,1.0
'Energiewende',0.10360024023424454,0.8292667459356002,0.04568892682339205,0.9487739369529143,102.0
'Erle',-0.3776445844585007,1.1185074352857887,-0.04471939642655108,0.9487260443803271,38.0
'Ernte',0.24494422753587444,1.1038027851304526,0.1166986343760347,1.1672672991767703,229.0
'Frühblüher',0.12287438897153587,0.5122663687405686,1.3511097172940074,0.18900657857580905,2.0
'Frühling',0.28116271935188836,0.8388514496615384,-0.36228295218760914,0.6146077718794275,43.0
'Gaskraftwerke Energiewende',0.14351778689587907,0.5718055694370268,0.3554386748646444,1.1287435039478817,4.0
'Gesundheit Klimawandel',0.02149209464210496,0.6597109482450317,0.6570454526411319,1.1797121431144322,12.0
'Gewitter',-0.3200197627129587,0.9971961234407343,-0.24834503086230741,0.7141262766396382,221.0
'Glatteis',-0.15809234367242397,0.9382316915385557,-0.14633846701630082,0.7198357195291192,36.0
'Hasel',0.3204636987732573,0.8185987325625024,-0.02072835466664422,1.1178739600950485,9.0
'Herbst',0.01618897236713874,1.0834570239399848,-0.051322137317822175,1.008999095162265,240.0
'Hochwasser',-0.1411517751108098,0.8893738528153016,0.09011896211845907,1.0856349260239635,206.0
'Industrie Klimawandel',-0.27765914213299825,0.6811800027310291,-0.020279704221394912,0.8050466140592679,5.0
'Kernkraft Energiewende',0.5773502691896255,1.0,-0.5773502691896256,1.0,1.0
'Klimaextreme Klimawandel',0.48864277740914874,0.0050082468752538686,-0.5928235572534513,0.034895264420214935,2.0
'Klimawandel',-0.26223264745599906,0.8690429219221443,0.18857100187111656,1.0581271657491491,104.0
'Landwirtschaft Klimawandel',-0.08851624868096128,1.0721569982457002,0.2552725048706383,1.1423721325651495,16.0
'Laub',0.13125189839181103,0.8302980174997988,0.03539987176894422,1.0862307975669097,51.0
'Lithium Energiewende',0.3995050420947748,0.6330315308343494,0.13529605105121523,0.6699579384399796,5.0
'Netzausbau Energiewende',0.18880894644022536,0.4644940033002508,-0.15423887658399457,0.6687483679019369,6.0
'Niedrigwasser',-0.1854692329530593,0.9613825685968814,0.611912811059355,1.18616646212752,15.0
'Pollen',0.002777604171866828,0.9143573037928869,0.6743811912589021,1.5696728251098373,11.0
'Schnee',-0.1651902072997569,0.8175347761501103,-0.20420170647881752,0.6595554935252673,183.0
'Schneeglöckchen',-0.21489230563315737,0.7652142786463312,1.2763323711254815,1.1116521314080412,2.0
'Solaranlagen Energiewende',1.617655498495,1.1595971318575182,0.45131518840282836,0.7639246096806281,2.0
'Sommer',0.18838325444469103,0.97222536049771,0.004792194861681887,1.0474841961024974,207.0
'Stromspeicher Energiewende',-0.19030971142019878,0.03433866360613738,2.376099607700808,0.509942034942147,3.0
'Verbrenner-Aus Energiewende',0.08256326452196126,0.6871760498121888,0.09168465570289676,1.0827735037651207,36.0
'Wasserstoff Energiewende',0.23028253192397843,0.8782100394669747,-0.1818597518533389,0.8059934989921002,6.0
'Wasserversorgung Klimawandel',-0.1313628409288492,0.6863886161524148,0.47119273826358404,1.68920922582965,4.0
'Weinlese',0.5089244517585088,1.0777816518178962,-0.009515854579127746,0.8746535318074852,30.0
'Windkraft Energiewende',-0.5254756151586274,1.0004181162795898,0.022760333916408932,1.3427125473444155,7.0
'Winter',0.0844644707144265,1.0435945836631968,-0.06945835023932947,0.7925735823175538,187.0
'Wärmewende',0.1403090566307743,0.9031220358478886,0.03142944814791815,0.9300427591252121,25.0
'erneuerbare Energien Energiewende',0.19298435186010304,0.6224517834941075,0.028492250576119683,1.2315111132847154,5.0
'fossile Brennstoffe Energiewende',-1.1192320761867651,0.9252765580956548,-0.6459412407611439,0.0,2.0
'fossile Subventionen Energiewende',-0.08945006288206858,1.0,-0.9991453525738442,1.0,1.0
